App Name, Violation Detected
App1, True
App2, True
App3, False
App4, True
App5, True
App6, True
App7, True
App8, False
App9, True
App10, True
App11, False
App12, False
App13, True
App14, False
App15, False
App16, False
App17, True
App18, False
App19, True
App20, False
App21, False
App22, False
App23, False
App24, True
App25, True
App26, True
App27, False
App28, False
App29, False
App30, False
App31, False
App32, True
App33, True
App34, True
App35, False
App36, True
App37, False
App38, False
App39, True
App40, False
App41, False
App42, False
App43, True
App44, True
App45, False
App46, False
App47, True
App48, False
App49, True
App50, False
App51, False
App52, False
App53, False
App54, False
App55, True
App56, False
App57, True
App58, False
App59, True
App60, False
App61, False
App62, True
App63, True
App64, True
App65, True
App66, True
App67, False
App68, False
App69, False
App70, True
App71, True
App72, False
App73, True
App74, False
App75, True
App76, False
App77, True
App78, False
App79, False
App80, False
App81, True
App82, True
App83, False
App84, False
App85, True
App86, False
App87, False
App88, True
App89, True
App90, True
App91, False
App92, True
App93, True
App94, False
App95, True
App96, False
App97, False
App98, False
App99, True
App100, False
